RefId;IsBadBuy;PurchDate;Auction;VehicleAge;Make;Model;Trim;SubModel;Color;Transmission;WheelTypeID;VehOdo;Nationality;Size;TopThreeAmericanName;MMRAcquisitionAuctionAveragePrice;MMRAcquisitionAuctionCleanPrice;MMRAcquisitionRetailAveragePrice;MMRAcquisitonRetailCleanPrice;MMRCurrentAuctionAveragePrice;MMRCurrentAuctionCleanPrice;MMRCurrentRetailAveragePrice;MMRCurrentRetailCleanPrice;VehBCost;WarrantyCost;State|ZIPC
58917;0;1/29/2009;MANHEIM;6;FORD;FOCUS 2.0L I4 SFI;SE;4D SEDAN SE;GREY;AUTO;3;44085;AMERICAN;COMPACT;FORD;28460;36100;35740;43990;33910;42680;41620;51090;40550;1134;CA|92337
25859;0;7/21/2010;OTHER;3;DODGE;CALIBER;Bas;4D WAGON SE;MAROON;AUTO;2;75427;AMERICAN;MEDIUM;CHRYSLER;65910;76360;106340;116280;58290;68200;97150;107340;57000;920;SC|29697
66296;1;9/24/2009;ADESA;4;CHEVROLET;COBALT 2.2L I4 MPI;Bas;4D SEDAN;WHITE;AUTO;1;76086;AMERICAN;COMPACT;GM;48880;61920;57790;71870;48880;61920;57790;71870;49200;803;NC|28273
35755;0;8/20/2009;MANHEIM;4;DODGE;CARAVAN FWD V6 3.3L;SE;MINIVAN 3.3L SE;BLUE;AUTO;2;77457;AMERICAN;VAN;CHRYSLER;52490;61110;61690;71000;38050;50380;72950;86600;60000;1623;VA|22403
35728;0;8/13/2009;MANHEIM;6;CHRYSLER;PT CRUISER 2.4L I4 M;Bas;4D SEDAN;BLUE;AUTO;2;76378;AMERICAN;MEDIUM;CHRYSLER;29100;37280;36430;45260;31040;38310;38520;46370;45000;1689;VA|22403
32845;0;7/7/2009;MANHEIM;6;DODGE;DURANGO 2WD V8 4.7L;Spo;4D SUV 4.7L;GREY;AUTO;1;86470;AMERICAN;MEDIUM SUV;CHRYSLER;44130;57960;52660;67600;43980;57560;52500;67160;53100;1803;CO|80022
14885;0;5/26/2010;OTHER;6;CHEVROLET;TRAILBLAZER 2WD 6C;Nor;4D SUV 4.2L LS;GOLD;AUTO;1;92346;AMERICAN;MEDIUM SUV;GM;62770;75450;97480;110200;53280;65370;93900;106140;75000;1341;SC|29697
10537;0;1/12/2010;MANHEIM;7;NISSAN;XTERRA 2WD V6;SE;4D SPORT UTILITY XE;GREEN;AUTO;1;77577;TOP LINE ASIAN;MEDIUM SUV;OTHER;60200;72470;93930;108660;62050;72360;92900;103110;78350;869;TX|77041
36089;0;3/16/2010;MANHEIM;4;FORD;FREESTYLE FWD V6;SE;4D CUV 3.0L SE;WHITE;AUTO;1;86608;AMERICAN;CROSSOVER;FORD;75550;89480;115700;127730;76640;91970;116460;131390;81700;1633;IN|46803
53463;0;9/1/2009;OTHER;1;CHRYSLER;PT CRUISER 2.4L I4 S;Bas;4D SEDAN;SILVER;AUTO;1;45621;AMERICAN;MEDIUM;CHRYSLER;71390;76390;82100;87500;74570;79450;85540;90810;65000;975;OK|74135
56486;0;6/29/2010;OTHER;3;CHRYSLER;PT CRUISER;Bas;4D SEDAN;RED;AUTO;2;77910;AMERICAN;MEDIUM;CHRYSLER;59020;68840;93950;101540;56410;67640;92640;103630;54500;1389;SC|29070
52706;0;5/27/2010;MANHEIM;5;FORD;F150 PICKUP 2WD V8;STX;EXT CAB 4.6L STX;GREY;AUTO;1;76986;AMERICAN;LARGE TRUCK;FORD;80760;99220;118910;139320;75200;91610;119790;137480;85550;803;MS|39402
11146;0;1/11/2010;MANHEIM;2;DODGE;CHARGER V6;Bas;4D SEDAN 2.7L;GREY;AUTO;2;59713;AMERICAN;SPECIALTY;CHRYSLER;100470;109660;135470;149920;108830;120570;149270;158010;97000;1086;NC|27542
7773;0;6/1/2009;MANHEIM;4;CHEVROLET;CAVALIER 4C 2.2L I4;Bas;4D SEDAN;GOLD;AUTO;2;95719;AMERICAN;COMPACT;GM;31000;40850;38480;49120;28300;38690;35560;46790;41000;1341;NC|27542
66914;0;12/2/2010;MANHEIM;4;KIA;SORENTO 2WD;EX;4D SPORT UTILITY EX;GREEN;AUTO;1;79915;OTHER ASIAN;MEDIUM SUV;OTHER;73320;90270;111400;126900;73720;96310;114770;139900;73550;1740;FL|33411
23102;0;2/25/2010;MANHEIM;5;FORD;FREESTAR FWD V6;SES;4D PASSENGER 3.9L SES;GREY;AUTO;1;73520;AMERICAN;VAN;FORD;50520;61820;86290;98140;55920;70860;87200;105500;66550;1506;SC|29532
23469;0;4/7/2010;MANHEIM;3;TOYOTA;MATRIX 2WD;Bas;4D SEDAN;BLUE;AUTO;2;77247;TOP LINE ASIAN;MEDIUM;OTHER;90860;102440;130960;143500;87720;101410;127420;141520;84350;569;CA|92807
72015;0;3/18/2010;ADESA;6;CHEVROLET;TAHOE 2WD;LS;4D SUV 4.8L LS;BLUE;AUTO;3;90941;AMERICAN;LARGE SUV;GM;100340;116300;145150;162250;86640;102600;127390;142630;104750;1918;CO|80817
32075;0;5/7/2010;OTHER;2;CHEVROLET;IMPALA V6;LS;4D SEDAN LS 3.5L FFV;WHITE;AUTO;2;85902;AMERICAN;LARGE;GM;82250;92930;117230;129520;82360;95340;122360;135230;86000;2152;SC|29461
1371;0;10/26/2010;ADESA;4;PONTIAC;G6 4C;Bas;4D SEDAN SE;WHITE;AUTO;2;89517;AMERICAN;MEDIUM;GM;55430;68600;90780;97420;61520;75260;90140;103600;64300;1113;TN|38118
12300;0;5/5/2009;OTHER;3;FORD;FIVE HUNDRED 3.0L V6;SE;4D SEDAN SE;BLACK;AUTO;1;79556;AMERICAN;LARGE;FORD;62660;77160;72670;88330;62660;77160;72670;88330;62050;1506;CA|95673
49151;0;3/4/2010;OTHER;6;DODGE;1500 RAM PICKUP 2WD;ST;QUAD CAB 5.7L SLT;BLACK;AUTO;3;92843;AMERICAN;LARGE TRUCK;CHRYSLER;81100;97820;118990;132410;82020;99020;123990;145610;93350;1053;OK|73108
3603;0;10/26/2010;ADESA;3;CHEVROLET;IMPALA V6;LT;4D SEDAN LT 3.5L;WHITE;AUTO;1;91466;AMERICAN;LARGE;GM;77450;92310;116860;130450;71620;85730;116740;127450;73350;2351;IA|50111
3104;1;8/18/2009;OTHER;6;FORD;MUSTANG V6 3.8L V6 E;Bas;2D COUPE;GREY;AUTO;1;51924;AMERICAN;SPORTS;FORD;46720;55950;55460;65430;43350;54330;51820;63680;72650;971;TX|75061
54639;0;7/16/2010;OTHER;4;FORD;TAURUS;SE;4D SEDAN SE;WHITE;AUTO;2;44762;AMERICAN;MEDIUM;FORD;40020;54210;76370;91120;43170;57280;73190;97110;60000;693;CA|90650
68966;0;9/10/2009;ADESA;5;CHRYSLER;PT CRUISER 2.4L I4 S;Tou;4D SEDAN;PURPLE;AUTO;1;83950;AMERICAN;MEDIUM;CHRYSLER;38100;49440;46150;58400;33860;44090;41570;52620;41000;1503;FL|32219
39967;0;10/21/2010;MANHEIM;5;DODGE;NEON;SXT;4D SEDAN;WHITE;AUTO;1;48314;AMERICAN;COMPACT;CHRYSLER;33840;44860;63430;79260;27520;37970;55710;68040;53200;553;AZ|85353
51312;0;4/22/2009;MANHEIM;2;DODGE;MAGNUM V6 2.7L V6 MP;SE;WAGON 2.7L;BLACK;AUTO;2;55172;AMERICAN;SPECIALTY;CHRYSLER;86510;101260;98430;114360;86510;101260;98430;114360;88850;1086;CO|80011
37887;0;4/3/2009;MANHEIM;4;HYUNDAI;ELANTRA 2.0L I4 MPI;GLS;4D SEDAN;SILVER;AUTO;1;59357;OTHER ASIAN;MEDIUM;OTHER;38370;48330;46440;57200;38370;48330;46440;57200;52050;505;NV|89165
47746;1;10/26/2010;MANHEIM;5;HYUNDAI;SANTA FE 4WD V6;GLS;4D CUV 2.7L GLS;WHITE;AUTO;2;79412;OTHER ASIAN;MEDIUM SUV;OTHER;64840;79720;105350;115060;62780;77500;98510;117790;77400;1155;TX|75050
62852;0;5/11/2010;MANHEIM;6;FORD;EXPEDITION 2WD V8;XLT;4D SUV 4.6L XLT;GREY;AUTO;1;96235;AMERICAN;LARGE SUV;FORD;82620;99520;118350;137360;76070;89350;110360;125450;95250;1197;NC|28625
39374;0;3/25/2009;MANHEIM;3;DODGE;CHARGER 2.7L V6 MPI;Bas;4D SEDAN;WHITE;AUTO;2;70293;AMERICAN;SPECIALTY;CHRYSLER;100850;114930;113920;129120;100260;115600;113280;129850;100750;1389;LA|70460
6815;0;8/17/2010;MANHEIM;2;DODGE;CALIBER;SE;4D WAGON;RED;AUTO;2;62678;AMERICAN;MEDIUM;CHRYSLER;75360;83830;115040;122520;73390;83090;109700;119110;70400;825;AZ|85040
62462;0;4/1/2009;ADESA;4;FORD;FREESTAR FWD V6 3.9L;SE;PASSENGER 3.9L LX;WHITE;AUTO;2;78908;AMERICAN;VAN;FORD;47980;62200;56820;72180;47980;62200;56820;72180;51750;1506;AZ|85226
31472;0;5/18/2009;OTHER;2;CHRYSLER;SEBRING 4C 2.4L I4 E;Bas;4D SEDAN;BLACK;AUTO;2;42621;AMERICAN;MEDIUM;CHRYSLER;70250;81640;80870;93170;75400;85340;86430;97170;77500;834;CA|91763
49251;1;4/22/2010;OTHER;5;CHEVROLET;MALIBU MAXX V6;LS;4D SEDAN LS;BLUE;AUTO;1;67327;AMERICAN;MEDIUM;GM;50310;63440;81950;96530;50310;63440;81950;96530;69350;1118;OK|73108
20310;0;7/20/2010;MANHEIM;4;CHRYSLER;SEBRING V6;Tou;4D SEDAN LXI;GREEN;AUTO;1;87919;AMERICAN;MEDIUM;CHRYSLER;47630;53190;80020;86040;51710;60670;86630;101640;43350;1373;CO|80022
55896;0;11/16/2009;OTHER;1;CHRYSLER;SEBRING 4C;LX;4D SEDAN LX;WHITE;AUTO;1;48222;AMERICAN;MEDIUM;CHRYSLER;79950;85460;91350;97300;78060;84190;114320;122480;74500;834;FL|33073
29913;0;4/7/2010;MANHEIM;5;FORD;FOCUS;ZX4;4D SEDAN ZX4;BLACK;AUTO;2;78008;AMERICAN;COMPACT;FORD;42400;53710;68770;81200;36810;47630;71800;92900;49500;1155;FL|32824
23046;0;2/4/2010;MANHEIM;3;PONTIAC;G6 V6;GT;4D SEDAN GT;BLUE;AUTO;1;53569;AMERICAN;MEDIUM;GM;85430;102290;124440;141830;101560;116960;137780;154130;78100;1003;SC|29532
52340;0;12/8/2010;MANHEIM;4;CHEVROLET;HHR;LT;4D SUV 2.2L 1LT;BLUE;AUTO;1;68163;AMERICAN;MEDIUM;GM;65530;85450;106050;128150;66110;82360;100900;123320;67250;728;TX|78219
47868;0;8/4/2010;MANHEIM;3;CHRYSLER;TOWN & COUNTRY 2WD V;LX;MINIVAN 3.3L LX;SILVER;AUTO;1;86924;AMERICAN;VAN;CHRYSLER;72280;90940;108910;127860;68780;85280;124990;154980;74500;1763;FL|33809
59872;0;5/11/2010;ADESA;7;FORD;FOCUS;LX;4D SEDAN LX;SILVER;MANUAL;2;67756;AMERICAN;COMPACT;FORD;23250;32700;47850;67300;21170;29480;50800;59960;44050;1320;TX|78754
61686;0;8/21/2009;ADESA;6;FORD;FOCUS 2.3L I4 DOHC;ZX3;2D COUPE ZX3;WHITE;AUTO;1;56110;AMERICAN;COMPACT;FORD;30470;37890;37910;45920;24660;32710;31630;40330;46150;1220;CA|91752
2331;0;12/8/2009;ADESA;4;FORD;ESCAPE 2WD V6;XLT;4D CUV 3.0L XLT;GREEN;AUTO;1;87894;AMERICAN;SMALL SUV;FORD;64340;78480;107130;121010;57620;70190;93700;108310;67350;983;OH|45005
56006;0;2/5/2010;OTHER;2;CHEVROLET;COBALT;LS;4D SEDAN LS;BLUE;AUTO;2;51039;AMERICAN;COMPACT;GM;69620;75530;110810;120220;74540;79750;109690;114190;62000;671;AZ|85284
37080;0;6/18/2010;MANHEIM;4;FORD;FOCUS;ZXW;4D WAGON ZXW;WHITE;AUTO;2;81411;AMERICAN;COMPACT;FORD;39030;54850;63500;89240;43500;51790;82960;88420;45500;1243;TX|75236
40169;0;6/4/2009;MANHEIM;6;DODGE;1500 RAM PICKUP 2WD;Lar;QUAD CAB 5.7L SLT;BLACK;AUTO;1;76995;AMERICAN;LARGE TRUCK;CHRYSLER;76480;97170;87600;109940;76480;97170;87600;109940;102650;1220;FL|33619
29376;0;12/18/2009;OTHER;1;CHRYSLER;PT CRUISER;Bas;4D SEDAN;RED;AUTO;2;53657;AMERICAN;MEDIUM;CHRYSLER;63500;69040;96150;100270;69390;76780;106520;111180;57000;1086;OK|74135
35602;0;3/5/2009;MANHEIM;6;FORD;TAURUS 3.0L V6 EFI;SE;4D SEDAN SE;GREY;AUTO;1;86560;AMERICAN;MEDIUM;FORD;29580;38500;36950;46580;28370;37630;35640;45640;38900;1283;VA|22403
58915;0;1/29/2009;MANHEIM;5;FORD;FREESTAR FWD V6 3.9L;S;PASSENGER 3.9L;SILVER;AUTO;2;53769;AMERICAN;VAN;FORD;30350;38760;37780;46860;38400;50150;46470;59160;46350;1169;CA|92337
47509;0;6/29/2010;MANHEIM;4;DODGE;MAGNUM V6;SE;WAGON 2.7L;WHITE;AUTO;2;80210;AMERICAN;SPECIALTY;CHRYSLER;78290;91630;118710;132730;76350;92270;117700;131230;90400;1503;TX|75050
57654;0;8/12/2009;ADESA;2;SUZUKI;FORENZA 2.0L I4 EFI;SE;4D SEDAN;BLUE;AUTO;2;63779;OTHER ASIAN;MEDIUM;OTHER;55620;66660;65070;76990;52590;63580;61800;73670;57500;533;TX|77086
5461;0;4/28/2009;MANHEIM;3;PONTIAC;GRAND PRIX 3.8L V6 S;Bas;4D SEDAN;BLUE;AUTO;1;56992;AMERICAN;LARGE;GM;68920;84380;79430;96130;68920;84380;79430;96130;66800;1500;AZ|85040
59170;0;8/27/2009;MANHEIM;6;NISSAN;XTERRA 2WD V6 3.3L V;SE;4D SPORT UTILITY SE;BLUE;AUTO;1;92252;TOP LINE ASIAN;MEDIUM SUV;OTHER;57080;67280;66650;77660;54750;67200;89110;103810;72200;920;CA|92337
36324;0;7/8/2009;MANHEIM;3;CHEVROLET;HHR 2.2L I4 MPI / SF;LT;4D SUV 2.2L LT;GOLD;AUTO;1;71053;AMERICAN;MEDIUM;GM;67740;82340;78160;93930;67740;82340;78160;93930;64450;803;TX|75236
64658;0;11/17/2010;ADESA;2;CHEVROLET;IMPALA V6;LT;4D SEDAN LT 3.8L FFV;WHITE;AUTO;1;80553;AMERICAN;LARGE;GM;85380;96470;124600;136560;102970;125820;141600;157530;85150;2152;AZ|85226
33053;0;10/9/2009;OTHER;6;SATURN;VUE 2WD 4C 2.2L I4 M;Bas;4D CUV 2.2L;BLUE;MANUAL;1;75575;AMERICAN;MEDIUM SUV;GM;33310;42910;40970;51340;34400;43970;42150;52490;50250;1923;FL|32750
17122;1;3/2/2010;MANHEIM;5;FORD;FOCUS;ZX4;4D SEDAN ZX4;MAROON;AUTO;2;64961;AMERICAN;COMPACT;FORD;38230;47180;67160;78180;38410;48940;68420;79090;36650;1020;TX|77041
9338;0;4/27/2009;MANHEIM;7;CHEVROLET;TRAILBLAZER 2WD 6C 4;LS;4D SUV 4.2L LS;WHITE;AUTO;1;86822;AMERICAN;MEDIUM SUV;GM;47390;56940;56180;66500;47390;56940;56180;66500;64350;1543;NC|27542
45172;0;5/28/2009;OTHER;3;CHRYSLER;TOWN & COUNTRY 2WD V;Bas;MINIVAN 3.3L;SILVER;AUTO;2;86355;AMERICAN;VAN;CHRYSLER;69890;80090;80480;91500;71920;81170;82670;92660;53250;1763;MS|38637
34838;0;1/28/2009;MANHEIM;4;CHRYSLER;SEBRING V6 2.7L V6 M;GTC;2D CONVERTIBLE GTC;WHITE;AUTO;1;56619;AMERICAN;MEDIUM;CHRYSLER;40250;51850;48470;61000;57090;66730;66660;77070;51700;1003;TX|75236
13564;0;9/29/2009;MANHEIM;4;MAZDA;TRIBUTE 4WD V6 3.0L;s;4D SPORT UTILITY S;GREY;AUTO;1;72595;OTHER ASIAN;SMALL SUV;OTHER;95370;120310;108000;134930;82020;106010;93580;119490;82550;1389;MD|21075
17828;0;9/8/2009;OTHER;4;CHEVROLET;MONTE CARLO 3.4L V6;LS;2D COUPE LS;GOLD;AUTO;1;86073;AMERICAN;LARGE;GM;50220;66490;59240;76810;47430;59880;56220;69670;44450;2152;UT|84104
29736;1;5/3/2010;OTHER;2;DODGE;CALIBER;SE;4D WAGON;BLACK;AUTO;2;45891;AMERICAN;MEDIUM;CHRYSLER;75590;81690;112700;117130;75590;81690;112700;117130;73000;693;OK|74135
55091;0;9/15/2009;OTHER;3;CHRYSLER;TOWN & COUNTRY 2WD V;Bas;MINIVAN 3.3L;BLUE;AUTO;2;69215;AMERICAN;VAN;CHRYSLER;73970;83170;84890;94820;69770;81650;107340;120530;70100;1411;AZ|85204
34139;0;11/17/2009;MANHEIM;2;CHEVROLET;MALIBU 4C;LS;4D SEDAN LS;GOLD;AUTO;2;54306;AMERICAN;MEDIUM;GM;63270;73610;73330;84500;74550;88170;105200;118470;76000;837;CO|80022
65407;0;10/19/2010;MANHEIM;2;CHEVROLET;IMPALA V6;LS;4D SEDAN LS 3.5L FFV;BLUE;AUTO;2;79076;AMERICAN;LARGE;GM;78820;88710;120490;130840;77370;88930;119570;132250;83600;1974;TX|77061
32898;0;7/14/2009;MANHEIM;6;DODGE;NEON 2.0L I4 SFI;SXT;4D SEDAN SXT;BLACK;MANUAL;1;70026;AMERICAN;COMPACT;CHRYSLER;25770;35640;32830;43490;25770;35640;32830;43490;41000;986;CO|80022
72535;0;3/4/2009;ADESA;5;CHEVROLET;TRAILBLAZER 2WD 6C 4;Nor;4D SUV 4.2L LS;BLACK;AUTO;1;73271;AMERICAN;MEDIUM SUV;GM;65880;77580;76150;88790;66590;80980;76920;92460;77500;1155;GA|30212
60763;0;3/16/2010;OTHER;4;CHRYSLER;PT CRUISER;Bas;4D SEDAN;RED;AUTO;2;72466;AMERICAN;MEDIUM;CHRYSLER;55400;66760;88890;107120;51080;60690;84830;95570;52250;1389;TX|78426
28310;0;10/21/2009;MANHEIM;7;CHEVROLET;MONTE CARLO 3.4L V6;LS;2D COUPE LS;SILVER;AUTO;1;71323;AMERICAN;LARGE;GM;31960;42640;39520;51050;30690;41600;58620;73350;63000;2274;FL|32824
60870;0;2/18/2010;MANHEIM;4;CHRYSLER;PT CRUISER;Bas;4D SEDAN;GREY;AUTO;2;63792;AMERICAN;MEDIUM;CHRYSLER;53090;63500;91820;102920;52410;63200;88430;99870;61200;1215;FL|33762
49383;0;9/30/2010;OTHER;5;FORD;FOCUS;ZX4;4D SEDAN ZX4 SE;WHITE;AUTO;2;76887;AMERICAN;COMPACT;FORD;35900;47640;69050;80110;42660;53040;72980;83570;52350;1155;OK|73108
65214;0;6/1/2010;MANHEIM;2;CHEVROLET;IMPALA V6;LS;4D SEDAN LS 3.5L FFV;SILVER;AUTO;2;79821;AMERICAN;LARGE;GM;80290;89540;115190;126810;79590;89680;118240;130790;80600;1974;TX|77061
4867;0;5/12/2009;MANHEIM;3;FORD;F150 PICKUP 2WD V6 4;STX;REG CAB 4.2L STX;WHITE;MANUAL;2;46823;AMERICAN;LARGE TRUCK;FORD;74880;96880;85870;109630;74880;96880;85870;109630;51800;482;AZ|85040
22464;0;6/18/2009;MANHEIM;3;DODGE;STRATUS V6 2.7L V6 M;SXT;4D SEDAN SXT FFV;SILVER;AUTO;2;57626;AMERICAN;MEDIUM;CHRYSLER;54800;64610;64180;74780;56380;65120;65890;75330;55000;1086;TX|76040
25863;0;7/21/2010;OTHER;4;DODGE;1500 RAM PICKUP 2WD;ST;QUAD CAB 3.7L;SILVER;AUTO;1;56925;AMERICAN;LARGE TRUCK;CHRYSLER;98350;120420;144620;168300;73210;95840;119900;137000;95000;505;SC|29697
65940;0;4/9/2009;ADESA;3;CHEVROLET;COBALT 2.2L I4 MPI;LS;4D SEDAN LS;SILVER;AUTO;2;60650;AMERICAN;COMPACT;GM;48240;59010;57100;68730;48240;59010;57100;68730;52250;728;NC|28273
55109;0;3/16/2010;MANHEIM;4;CHRYSLER;PT CRUISER;Tou;4D SEDAN;BLUE;AUTO;2;49741;AMERICAN;MEDIUM;CHRYSLER;55400;66760;88890;107120;52130;62080;90050;102470;63800;975;OR|97217
59753;0;2/2/2010;ADESA;5;DODGE;1500 RAM PICKUP 2WD;SLT;QUAD CAB 5.7L SLT;GOLD;AUTO;1;71422;AMERICAN;LARGE TRUCK;CHRYSLER;91300;111980;141280;165440;99030;118540;140160;154610;97350;920;TX|78754
43412;0;7/29/2010;MANHEIM;4;DODGE;STRATUS V6;SXT;4D SEDAN SXT FFV;GREY;AUTO;2;57153;AMERICAN;MEDIUM;CHRYSLER;61090;69610;93580;102360;66830;75470;100410;108450;60000;1086;FL|32124
35004;0;3/4/2009;MANHEIM;4;CHEVROLET;CAVALIER 4C 2.2L I4;Bas;4D SEDAN;WHITE;AUTO;2;76885;AMERICAN;COMPACT;GM;35840;44580;43710;53150;35100;43690;42910;52190;38100;1155;TX|75236
